XX OOXOO XX X O ,0
OOXXXOX OXOOX X ,0
XOXOOXOXXO  OXOX,1
XOX OXXXOOXOXOXO,0
XXO X XOOOOXOX  ,1
OOX  OXXOXXXOXO ,0
 XXXOXOOO OXOOXX,1
OXOOOOXOXOOXXXXX,1
XXXOOOXOXOOXOXXO,1
OOXXXXOOOOXXOXXO,1
O XOXXXXOOXOOXXO,0
XXOOOOO XXXOX XO,1
X XX  OOOO O X X,1
XXOOOXX  XXOOXO ,0
OOOOXXOXXXOXOXXO,1
OOXXXOOXXXOOOXXO,1
X XOXOO XO  X   ,0
O OX X X OXO X  ,0
OOXOXOXXOXOXXXO ,0
 XO XO OXO XXXO ,0
OOXOXOXX X X OXO,0
  OX  XO XOXX  O,0
  OOXO  O XX X  ,1
XXOXXOOXXOXOOOOX,1
XXXOOX XOXOOOXXO,0
X XX X OXOOOOXO ,1
OXOOXXX XOOXXOXO,0
OXOOOX OXXXX  OX,0
OOXOXXO OO XXXOX,1
OOXXXOOXXXOXXOOO,1
X XXOOXOOXOXOXOX,0
OXX XX O XO X OO,0
XO XXXOXOOXOXXOO,0
OXOOXXOXXX XXOOO,0
XOOOXXOXOXOXOXX ,0
OXOXXOOX OOXXXOX,0
XXOOXO  OX X O  ,1
XX   X OOOO X OX,1
OOOOOOOXXXXOXXXX,1
XX X  OXOOXOO X ,0
XOOXXOOOXX XOXXO,0
OXX X XOOXX XOOO,0
OO XXO XX XXOOXO,0
X O XXXOXOX OOXO,0
XX X XOXOOXOXOOO,1
OXOO XXOOOXOXXXX,0
OOX O XXX XXOXOO,0
XXOOXXOOOXXXOXO ,0
XXXXOOOXOOXXXOOO,1
XXX OOXXOOOXXOOX,0
XOOXXOOXO XXXOOX,0
XOOOOXXOXXXOXOOX,1
OXX OXO X O X   ,0
XXXOOO OXOO XOXX,1
  XX OOX O XO X ,0
 OXXOXOOOXXX  XO,0
XXOOXXOXXOOOOXXO,1
 X  X O XOO XOX ,0
 X X OO OXOO XX ,1
XXOXOOXXXOOXXOOO,1
X XOOOX OXX XOXO,0
 X X XOOXXOO X O,0
 XOXOOXOOXX OXX ,0
XXOXXXOXOXOXOOOO,1
XXOOXXXOXOXXOOOO,1
O  X   X  OX  XO,0
OOOOXOXOXX XOXX ,1
OXXXOXXOOXXOOOOX,1
OOOXOOX XXXOOXXX,0
O O  XXO XOXOOXX,1
 OOXXOXXOXOOOXXX,0
XOOXO XOXXOXXOXO,0
XXXXOOOOXOOXXOXO,1
X OXOXX XOOXOXOO,1
XOXXOOXOXXXOOOOX,1
X X OX   X OXOO ,0
X OXOOXXOXXOXOOX,0
XOOX  XXXOXO XOO,0
XXOXOXXOXOX OXOO,0
XXOXXOOXOXOO  OX,1
XOOXXXXOOOOX X O,1
OXOXXOXOX XOXOOX,0
 XX  XXOOOO XXOO,1
XXOXOOXX OOXOXXO,0
XX XXXO OO  XOOO,1
XOXXOO XOO XXOX ,0
XOXOXOXXOO XOOXX,0
OXOOXOXXOXXOOXXO,1
O XOOOXOXXXXXXOO,0
OOOOXOOXXXXXXOOX,1
XOXOOXXXX OOXOOX,0
OOOOXXXOXXOXXOOX,1
 X OOOO XOOXXX X,1
 OOX O X XOXX XO,0
XXXO OXXOOXXOXOO,0
XXXOO XOOXXXOOOX,0
XOOXOOOXXXXO OXX,0
 X OOOOXX  XOXXO,1
OOOOOXXXOXXXXOXO,1
X OOXXOXOXOXOOX ,1
O XOOOXXXXXOXOOX,0
OOX  XXOXO XX O ,0
XXXOOXXXXOOXOOOO,1
OXXOOX OXXOOXOXX,0
XOOOXX OX  OX  X,0
OOOXXXXXXX OOXOO,0
XXXOOXOOXOXOOOXX,1
OX OXXXOOXXOOXOX,0
OOXXXOOOOOXXXOXX,1
OXXXXOO XXOOOXXO,0
XX OXX OOOO OXX ,1
XXXOX OX XO OOO ,1
OOXXXXXOXOOOOXOX,1
XOXOOXXO OXOXXOX,0
XOOXXXOXOX XOXOO,0
 XOXO OX   XOXOX,0
XXOOOOOXXXO  XOX,1
X O XXXXXOOXOOOO,1
OOOXOOXOXOOXXXXX,1
X  O OOXOXX O  X,1
XXOXXOOXOOXOXX O,0
O XX  X OXOOX OX,0
XOOOOOXXXXXOXOXO,1
XOXXXOOOXXO XXOO,0
OOXXX XOOXOXOXOX,0
OOOXXOXOXXOX XXO,0
OOOXX XO XX OXOX,0
O XO OOOOXXXXOXX,1
OXOXOXOOXOXXOOXX,1
X X XXOOXOXOXOO ,0
 OOXOO XOXX XXXO,0
XOXOXOXOXOO XXOX,0
 XOOXOOOXOXXO XX,1
XOXXOOOXXXOXXOOO,1
OOOXXOOOXXX X XO,1
XXX OOX OOX OXOX,0
XOOXXOO XOXOXXXO,0
  OXX XOOXOXXOXO,0
XXOXXXOO XOXXOOO,0
 X OOXXOOX OXXXO,0
OOOXXOOXXX XOOXX,0
XXOOXOXOXXXOOOOX,1
 OX OX   XOX XO ,0
OOOXXOOO XX XXOX,1
OXOXXOXXXOXOXOO ,0
XX OOXOXOXOOOXXX,0
X XOOXOO XX  OX ,0
 OXOX XX OOXXOOX,0
 OOXXXXXOOXOOXXO,0
OXXOOOXX XOX  XO,0
OOXOXOXXOOOXX XX,0
 XOXOOXO  X XXO ,0
   XO  XOOXX  OX,0
XOOOOXOXXOXXXOOX,1
XXOXXXOXOXXOOOOO,1
OOXX XOXOOXXOOXX,0
OOXXXOOXOOXXOX X,0
 O O XOXXXOXOO X,1
  XX  OXO X O XO,0
OXOOOOXXXXXOOOXX,1
 OX X  XOOXXXOOO,1
XOXOOXXOO XOXOXX,0
XOOXXXXO XOOXOXO,0
XXOXOXOOXOOXOXXO,1
OOXXXXOOXXOXOOOX,1
 XOOOOXXX  OOX X,1
X O XXXOXXO OXOO,0
OXXXOXXOOOO X OX,1
OXXOXOOXOXXOOXOX,1
OXXOOOXXXXXOOXO ,0
XOXOOOOXO O XXXX,1
  XX O XXOOX OXO,0
XO OXXO XO XXOOX,0
OOOOXXXOXOXOXOXX,1
O X XO XXOOOOXX ,1
 OOXOXXOXXXOOXOX,0
OOX XXOOOOXXXX O,1
XOXOXOXXOOXOXXO ,0
OOXXOXOXXX OXXOO,0
OXOOOXX OX OXX X,0
 XXXOOOOXO XXOOX,1
X   XX XOOOOOOXX,1
O XO  X X X  XOO,0
OXOXXO OXOXXXOXO,0
OOOXX X XX O X O,0
XXOOX  XXX  OOOO,1
X OXOXOXOOXOXXXO,0
XXXXOOOXOOXOO XX,0
OOXOXOOXXXOOXOXX,1
XOX OOXOXXOXXO  ,0
OOXOOOOXXOXXXX  ,1
OOOO   XOX XXX  ,1
X OOXO OXX OXOXX,0
OXOOOXOXXX XOXXO,0
XOOXXX O XO XOOX,0
OXXOXXOOXXXXOOOO,1
XOXXXXOX OOOOOX ,1
XXOXOOXO XXXOOOX,0
OXOOOOXXX  XXOOX,1
 OXX OXOXX   XOO,0
XOXOXXXOXXOXOOOO,1
XOXX   XXOO OXOO,1
OXXXXXOOOXXXOOOO,1
XOX OXXXOXOO X O,0
OXXOOXXXOOOOXXOX,1
OXOXOOXXXXOOOX X,0
XXOXXOOOOXXXOOOX,1
  X  OXX OXOOOXX,0
OXOOOOXOXXOXOXXX,1
XXO XO OOOOXXX  ,1
XOOOXOOXOXXOXOXX,1
